implementation,protocol_name,security_label,enc_scheme,enc_modulus_bits,curve_security_bits,enc_security_bits,overall_security_bits,n,t,signers,setup_mean_ms,dkg_or_keygen_mean_ms,sign_mean_ms,sign_stddev_ms,verify_mean_ms,throughput_sig_per_sec,bandwidth_total_bytes,bandwidth_per_party_bytes,sig_bytes,ec_pubkey_bytes,ec_share_bytes,enc_pubkey_bytes,enc_share_bytes,enc_ciphertext_bytes,all_signatures_valid,git_commit,notes
tr-ecdsa,"TR-ECDSA (3-round, CL-HSM)",112,CL_HSMqk,,112,112,112,5,4,5,138.354458,50.1525625,3410.82832,8.55575491,0.332229125,0.293183915,23295,4659,56,29,28,224,75,450,True,ac2b168,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,10,5,6,3687.7885043000006,12195.714,1115.4045939999999,9.582416263722184,0.16722387500000002,0.8965356655147505,284822,47470.333333333336,64,33,32,256,256,512,True,3f677ff,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,3,1,2,4042.2236526666666,2318.166333,169.38559375,3.1753915876764207,0.16235412500000002,5.903689787668262,21414,10707,64,33,32,256,256,512,True,3f677ff,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,3,2,3,4751.673000000001,2190.2610839999998,281.900375125,7.943454224915417,0.17572924999999998,3.5473524984015397,59691,19897,64,33,32,256,256,512,True,3f677ff,
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,5,2,3,,,298.278260625,12.037019797281694,0.16197899999999998,3.3525741966734057,59694,19898,64,33,32,256,256,512,True,3f677ff,setup and keygen timing skipped: precomputed fixtures used (see SCHEMA.md caveat 8)
tss-lib,"GG18 (9-round, Paillier)",secp256k1,Paillier,2048,128,112,112,5,4,5,4189.80015,3703.0692910000002,761.24239075,8.373266613250994,0.17243225,1.313642030647779,191398,38279.6,64,33,32,256,256,512,True,3f677ff,
